Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone,InstructionRooms,SealingRooms,BaptismRooms,SquareFootage,Acreage,Announcement,Groundbreaking,Dedication,US
Kirtland Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1832-12-27,1833-06-05,1836-03-27,NA
Nauvoo Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840-08-31,1841-02-18,1846-05-01,NA
Salt Lake Temple,40.770468,-111.891958,"40°46'13""N","111°53'31""W",50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640,5,23,2,253000,10,1847-07-28,1853-02-14,1893-04-06,TRUE
St. George Utah Temple,37.100535,-113.578041,"37°6'1""N","113°34'40""W",250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533,3,18,1,110000,6,1871-01-31,1871-11-09,1877-04-06,TRUE
Manti Utah Temple,39.272906,-111.63376,"39°16'22""N","111°38'1""W",Temple Hill,Manti,Utah,84642,United States,(+1) 435-835-2291,4,8,1,100373,27,1875-06-25,1877-04-25,1888-05-21,TRUE
Logan Utah Temple,41.734161,-111.827943,"41°44'2""N","111°49'40""W",175 North 300 East,Logan,Utah,84321-4720,United States,(+1) 435-752-3611,4,11,1,119619,9,1876-10-06,1877-05-18,1884-05-17,TRUE
Cardston Alberta Temple,49.19835,-113.309394,"49°11'54""N","113°18'33""W",348 3rd Street West,Cardston,Alberta,T0K 0K0,Canada,(+1) 403-653-3552,4,5,1,88562,10,1913-06-27,1913-11-09,1923-08-26,FALSE
Laie Hawaii Temple,21.647207,-157.930658,"21°38'49""N","157°55'50""W",55-600 Naniloa Loop,Laie,Hawaii,96762-1299,United States,(+1) 808-293-2427,4,5,1,42100,11.4,1915-10-03,1916-02-08,1919-11-27,TRUE
Mesa Arizona Temple,33.412876,-111.819571,"33°24'46""N","111°49'10""W",101 South LeSueur,Mesa,Arizona,85204-1031,United States,(+1) 480-833-1211,4,6,1,113916,20,1919-10-03,1922-04-25,1927-10-23,TRUE
Idaho Falls Idaho Temple,43.499819,-112.0415,"43°29'59""N","112°2'29""W",1000 Memorial Drive,Idaho Falls,Idaho,83402-3497,United States,(+1) 208-522-7669,4,7,1,116250,7,1937-03-03,1939-12-19,1945-09-23,TRUE
Los Angeles California Temple,34.052801,-118.433909,"34°3'10""N","118°26'2""W",10777 Santa Monica Boulevard,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569,4,10,1,190614,13,1937-03-06,1951-09-22,1956-03-11,TRUE
Bern Switzerland Temple,47.002192,7.458244,"47°0'7""N","7°27'29""E",Tempelstrasse 2,Zollikofen,Bern,CH-3052,Switzerland,(+41) 31-915-5252,4,7,1,35546,7,1952-07-01,1953-08-05,1955-09-11,FALSE
London England Temple,51.162566,-0.052181,"51°9'45""N","-0°3'7""E",West Park Road,Newchapel,NA,RH7 6HW,United Kingdom,(+44) 1342 831-400,4,8,1,42652,32,1953-08-10,1955-08-27,1958-09-07,FALSE
Hamilton New Zealand Temple,-37.826397,175.224885,"37°49'35""S","175°13'29""E",509 Tuhikaramea Road Temple View,Hamilton,NA,3218,New Zealand,(+64) 7-846-2750,1,5,1,44212,86,1955-02-17,1955-12-21,1958-04-20,FALSE
